month,tickets,repeat_rate,sla_breach_rate
2025-01,289,0.058823529411764705,0.08996539792387544
2025-02,311,0.09646302250803858,0.09646302250803858
2025-03,408,0.09803921568627451,0.09313725490196079
2025-04,398,0.135678391959799,0.09045226130653267
2025-05,460,0.11739130434782609,0.09347826086956522
2025-06,409,0.14180929095354522,0.097799511002445
2025-07,478,0.10251046025104603,0.08577405857740586
2025-08,672,0.11160714285714286,0.09226190476190477
2025-09,737,0.12618724559023067,0.08683853459972862
2025-10,906,0.1280353200883002,0.09271523178807947
2025-11,983,0.12512716174974567,0.08341810783316378
2025-12,905,0.1414364640883978,0.08287292817679558
2026-01,861,0.13821138211382114,0.08478513356562137
2026-02,750,0.104,0.076
2026-03,841,0.14982164090368608,0.093935790725327
2026-04,824,0.12257281553398058,0.07645631067961164
2026-05,857,0.12252042007001167,0.10035005834305717
2026-06,786,0.1297709923664122,0.0916030534351145
